,uid,isbn,rating
20230,132226,055358264X,10
20232,132235,0870212850,7
20247,132318,1558746226,8
20249,132340,0451147723,1
20250,132340,0821724029,1
20255,132394,0375406530,8
20256,132394,0345410033,6
20257,132395,0590298402,3
20258,132396,0141311819,5
20259,132398,0767905180,3
20262,132398,0060190094,5
20268,132418,0670857459,6
20272,132442,0395746566,10
20275,132460,0060253649,8
20287,132533,0399142495,9
20290,132550,0140067477,7
20293,132599,8880891901,4
20297,132623,0312317751,10
20308,132672,0345450698,9
20309,132679,1853260274,10
20316,132703,0060976845,5
20317,132703,0345370805,8
20318,132703,0767902513,9
20319,132703,0785275207,7
20320,132709,0671002031,5
20323,132750,1551669005,6
20325,132766,0375400249,10
20326,132770,1558746226,8
20334,132848,1556111479,7
20336,132874,0553280589,10
20337,132874,0553569058,10
20338,132892,0060971479,5
20339,132913,0553296981,8
20342,132934,0425180638,9
20343,132934,0394511042,5
20344,132945,0811828964,4
20345,132954,0062502182,10
20347,132960,0142004235,9
20348,132963,0440904196,8
20359,133008,0002214067,10
20367,133102,0762102624,4
20369,133108,0345384369,9
20370,133108,0812572122,7
20371,133108,0425136981,7
20372,133130,1573922684,9
20373,133150,0440241073,6
20377,133184,0425151875,6
20378,133184,0425180050,6
20383,133228,0330487612,8
20384,133230,0865738998,10
20385,133233,0312278586,8
20388,133247,0440213525,10
20391,133256,0142001740,8
20392,133261,0449219593,7
20394,133280,044651652X,8
20395,133290,0060928336,5
20396,133294,0842329129,7
20400,133332,0805063897,8
20401,133346,0671026852,7
20406,133386,0812543262,7
20408,133393,0451403061,5
20414,133429,0140366849,10
20421,133479,0747255342,4
20426,133568,0451202341,8
20427,133568,0440414539,10
20429,133586,0375725784,5
20434,133610,0385333064,8
20435,133612,0394578791,8
20445,133708,1551669412,7
20456,133765,0515133973,10
20461,133781,0312982496,8
20463,133806,0375703861,10
20464,133810,0805048030,8
20476,133866,0312291639,9
20478,133875,0425185486,6
20479,133877,1400034779,9
20480,133893,0061092533,8
20483,133919,0373250150,6
20484,133919,1890447269,9
20485,133929,1860492592,7
20488,133948,1403325200,10
20489,133962,0590462318,8
20490,133962,1550502700,8
20491,133962,0866119663,8
20492,133962,0866119698,10
20493,133962,155050164X,10
20494,133962,1550501933,9
20502,134078,0345342968,10
20503,134078,0440220602,8
20504,134081,0345402383,7
20506,134087,0836204158,8
20508,134092,0805010947,7
20509,134092,0812918169,10
20516,134157,0373225954,5
20518,134160,0525946578,8
20522,134193,0440200563,5
20523,134193,0670830496,7
20526,134216,0679426140,7
20527,134222,0671026682,7
20528,134234,0786868716,10
20530,134251,0312990456,8
20537,134288,0812548051,8
20538,134288,0812548094,3
20541,134313,0743454510,8
20544,134313,0312968248,9
20549,134318,0553292722,8
20550,134321,0345404114,7
20554,134349,0141001682,9
20555,134350,1579546390,9
20560,134368,0446606812,8
20561,134378,0451188063,6
20565,134387,0316779490,7
20577,134408,0679810307,10
20578,134408,059033123X,7
20579,134408,0440220300,6
20587,134442,0385314744,6
20589,134460,0345394259,6
20599,134497,0520037626,9
20600,134505,0380727617,6
20606,134584,039575514X,8
20607,134607,055324731X,9
20616,134667,0385188838,8
20621,134725,0440219760,5
20622,134739,0679425268,5
20626,134767,0679405283,7
20631,134807,0064472272,10
20634,134831,0393039307,9
20635,134838,0849911672,6
20636,134838,0310536510,7
20648,134903,0451525884,10
20655,134932,1573227978,6
20658,134935,1400030382,9
20659,134937,0316769487,8
20660,134962,0829416870,9
20663,134969,1563920301,4
20664,134971,1565122437,8
20665,134982,0590455753,8
20666,134988,0553148001,9
20669,135002,0821766589,8
20670,135005,0811825558,5
20673,135031,0930289234,7
20674,135037,0060392452,6
20676,135067,0312278586,5
20679,135091,8806163698,8
20683,135123,0373196660,7
20690,135133,0804111359,9
20691,135133,0440235596,7
20693,135166,0767903382,7
20694,135180,0151686564,8
20695,135181,0375500227,8
20697,135181,0595148263,10
20698,135181,1567510817,4
20699,135189,0735203474,8
20704,135235,0553209671,8
20705,135237,0316781266,5
20707,135268,0571167772,7
20708,135301,0140067477,8
20709,135301,0140230165,8
20710,135308,1550544683,8
20713,135320,0743262174,10
20714,135320,080411935X,9
20715,135320,0060971479,7
20723,135399,0440224772,7
20725,135418,0316769487,8
20729,135440,0553349481,9
20735,135471,0373709633,9
20736,135472,0786868716,5
20739,135529,067972026X,7
20740,135541,0609807250,10
20741,135551,0061020680,8
20743,135572,0684807572,7
20744,135572,0806518154,8
20745,135572,0895293676,8
20747,135577,0385475713,6
20752,135615,0312195516,9
20753,135615,0060199652,9
20755,135626,0060568984,9
20757,135629,0886778581,10
20762,135706,0071376127,6
20764,135728,8408022938,6
20765,135735,0451184890,5
20770,135793,0425107469,6
20772,135803,067941603X,7
20776,135833,0440147956,10
20777,135833,0440223202,10
20778,135833,0671025333,10
20779,135833,0786012633,7
20780,135833,0380777525,4
20782,135845,0380789019,8
20784,135856,0064407667,8
20790,135889,034541389X,8
20791,135889,155166898X,8
20794,135908,0140240209,6
20795,135908,0312283334,10
20796,135908,0517599414,10
20798,135913,0425173097,6
20799,135914,1574862537,8
20800,135927,0894805770,10
20801,135927,089480829X,10
20802,135927,0811802426,5
20803,135927,0517585243,5
20811,135949,0307101711,7
20822,136012,0345435249,9
20829,136064,0345366387,8
20832,136085,0805059555,9
20835,136092,0802132758,10
20845,136153,039914496X,8
20846,136159,0380727501,6
20848,136162,038079487X,7
20849,136166,0312081367,6
20851,136186,0345338545,10
20855,136211,0156711427,7
20861,136257,0688177867,9
20862,136265,0553569031,7
20865,136273,0312263031,5
20866,136275,0785266917,7
20867,136275,0802485804,6
20868,136275,0764225146,6
20871,136279,0967673763,4
20872,136281,0451197003,8
20873,136282,0451172043,9
20877,136290,0765341972,8
20878,136290,0671550551,7
20879,136290,0806908335,5
20881,136298,0449912558,10
20885,136338,0380807343,7
20886,136339,0515132187,8
20894,136401,0440225701,8
20896,136423,0671867091,8
20898,136433,0763617261,10
20905,136487,0670031909,7
20907,136502,0393308812,10
20908,136502,0394729471,8
20909,136523,0385492790,10
20910,136530,0767913000,7
20915,136600,0671742760,7
20917,136600,0812574664,7
20922,136625,0553562940,7
20924,136625,1560253002,5
20926,136628,1573222267,6
20927,136655,0803495269,9
20928,136658,006016042X,8
20930,136681,0671721054,7
20931,136681,0671876473,7
20936,136714,0393022269,9
20937,136715,0789712229,5
20944,136748,0385722206,8
20948,136760,0671525433,4
20949,136771,0449204324,7
20950,136773,068802405X,9
20954,136799,0553577867,8
20955,136812,0440236673,6
20956,136812,0812533550,10
20961,136834,0590962736,8
20968,137004,1551666316,7
20970,137012,0515126772,6
20972,137052,0440900794,10
20975,137065,0142001740,9
20976,137065,0399151613,6
20977,137065,0375414657,8
20979,137065,0374128715,6
20985,137087,0345381432,8
20986,137092,0446607177,5
20990,137104,0064462080,9
20994,137134,0446602612,8
20995,137134,0446608262,8
20996,137134,0316693294,7
20997,137134,0786889306,7
20998,137134,0140288503,10
20999,137152,0966987748,10
21001,137163,0060175869,7
21004,137209,0889740232,8
21005,137228,0679454454,7
21013,137323,1853260282,10
21015,137380,0452282063,8
21017,137398,0380714752,8
21020,137410,0312983417,7
21021,137414,0345413350,9
21023,137424,0804107300,10
21024,137428,0312195516,6
21025,137428,0345434870,7
21029,137453,0446519723,9
21031,137466,0140348875,7
21037,137495,0679746048,7
21050,137594,0804111359,4
21056,137636,0684853612,8
21064,137710,0140620753,8
21065,137711,0006550576,8
21067,137729,0345342968,8
21069,137741,0452268184,8
21070,137745,0374527229,5
21078,137765,0449224228,6
21086,137894,0380804883,8
21087,137908,0425152898,9
21091,137922,059030271X,7
21092,137940,0446310786,8
21094,137971,0671664964,10
21098,137987,0060506512,10
21100,137999,0345452577,7
21103,138044,0688177859,8
21104,138054,006101351X,8
21105,138074,0064473023,5
21107,138092,0553381210,4
21112,138120,0312201656,7
21113,138130,0671023888,10
21114,138146,0142001740,10
21115,138146,0140123385,8
21120,138199,0062500481,6
21121,138200,0786886994,8
21123,138206,0375758453,9
21124,138206,0373218486,5
21125,138209,0671001728,9
21128,138230,0894805770,6
21129,138253,0439116759,9
21130,138257,067173069X,6
21133,138290,0897330862,5
21134,138294,0345413369,5
21135,138294,0345413350,6
21136,138294,0441010369,4
21139,138314,0684859300,10
21140,138314,0789303566,8
21141,138317,0553280341,7
21144,138334,0312146310,8
21150,138367,0380599317,10
21151,138383,1402200455,8
21154,138395,0345333810,5
21155,138395,0671734601,7
21164,138495,0297607391,4
21166,138524,0151008116,10
21169,138553,0374172897,8
21172,138557,1853260231,8
21175,138616,0345413350,8
21177,138624,0671501283,6
21178,138628,1853260312,7
21180,138633,015636090X,7
21185,138691,0060187271,10
21192,138713,0425165566,7
21195,138732,0785274405,6
21196,138733,0152019162,6
21198,138752,0553279912,8
21209,138815,043935806X,10
21210,138815,0441359175,10
21214,138843,0312316933,6
21215,138846,055305094X,7
21217,138852,0679805273,8
21218,138852,1400047986,9
21223,138932,0345342968,5
21224,138932,0395562333,5
21225,138932,0380793474,5
21226,138932,0689824750,5
21227,138941,0451406095,8
21229,138944,0060957409,7
21232,138965,0451526732,5
21234,138971,0743418204,8
21235,138997,0671039385,6
21236,138999,1878424319,6
21237,139031,0449006344,5
21238,139031,0385334710,6
21239,139031,0373245599,5
21240,139031,1551664380,8
21241,139031,0373708556,3
21242,139031,0842381171,6
21243,139031,0373245319,7
21244,139031,0373244622,5
21246,139031,0373243871,5
21247,139032,087923556X,8
21248,139049,0345443284,8
21249,139050,0553574132,9
21251,139054,0800756940,8
21265,139114,0449003795,6
21267,139128,0140433112,7
21273,139169,0375704779,7
21276,139196,0670859117,9
21283,139228,0441790348,9
21287,139255,0345313860,6
21293,139288,031228327X,6
21294,139288,0804113971,5
21309,139436,0738200336,5
21310,139436,1893224546,7
21312,139444,0440202507,5
21324,139528,0595204589,8
21327,139548,0679429220,6
21328,139548,044023722X,8
21329,139548,0440211263,8
21330,139548,080411868X,4
21332,139548,0609804138,7
21334,139555,0060559128,8
21338,139570,0552998486,8
21351,139635,0061092886,8
21353,139655,0688157491,8
21361,139711,1844262553,10
21364,139715,0399142444,8
21365,139718,0253212731,3
21375,139808,0472065211,9
21376,139808,0374521344,10
21383,139832,0380002930,10
21384,139837,0064440591,8
21385,139841,0451179803,10
21386,139857,1578565235,5
21388,139864,0060175400,7
21389,139867,0060197005,2
21390,139867,034542316X,6
21391,139867,0312972962,6
21392,139878,0425181995,9
21397,139909,0446607657,6
21398,139909,0812519523,4
21407,139956,0345354621,7
21409,139975,0001850121,8
21412,139993,0515132187,9
21413,139993,0312974256,8
21415,139998,0156006529,9
21416,139998,0446527017,7
21428,140112,0747557713,6
21430,140154,1570719586,6
21440,140227,0330491482,1
21446,140269,0670816264,6
21447,140269,0889610681,6
21449,140272,1580050514,10
21457,140373,0886774632,3
21461,140420,0451450973,8
21462,140437,0971880107,6
21463,140437,0151004358,9
21464,140437,0943151317,10
21465,140437,0762401788,10
21466,140460,0062516825,9
21467,140460,0786705965,3
21469,140460,1561010812,10
21473,140490,0399148701,6
21476,140516,0064403319,8
21477,140520,0684863057,7
21478,140529,0380820145,7
21484,140576,0786861061,8
21485,140576,0373033443,6
21486,140576,0373191758,5
21487,140578,0786014210,6
21488,140578,0451458370,5
21490,140578,0316926108,7
21492,140578,0449148254,2
21493,140637,0385498802,8
21495,140665,0399138714,7
21496,140675,2253010219,7
21497,140678,0552133256,8
21500,140734,0525946284,10
21501,140735,0345453417,6
21503,140749,0723245835,8
21504,140766,0061012548,10
21505,140768,0471183679,6
21508,140775,0373260636,5
21513,140885,0060090324,10
21514,140892,1558747613,9
21515,140892,0440219736,7
21516,140892,0517884976,8
21518,140929,0140139974,9
21519,140931,0375724834,9
21521,140951,0684839547,5
21523,140958,0553800973,10
21530,140975,0425143325,8
21531,140977,0743204093,8
21534,140979,0385498802,6
21536,140988,0345435168,8
21537,140990,0312144075,9
21538,140990,0385475772,9
21541,141018,0553279912,9
21542,141023,0446310786,5
21543,141031,0060928336,10
21545,141039,0345404920,8
21546,141060,0525937935,7
21551,141073,0373833598,6
21554,141143,0449218473,10
21562,141238,0060162619,5
21564,141251,0312050631,9
21566,141279,039914613X,7
21567,141290,0689801505,10
21570,141302,1573229326,7
21571,141308,0451162072,9
21574,141337,0515107867,8
21575,141350,1400034779,5
21578,141370,0312966091,4
21581,141392,042519213X,9
21583,141423,0399232079,10
21590,141470,1551669153,7
21591,141470,0006552390,8
21596,141484,0785811257,10
21597,141487,0375707166,2
21600,141512,0515132187,8
21601,141517,0451205421,6
21614,141580,0345342968,10
21615,141590,0515131210,5
21627,141830,0440237165,7
21630,141865,034536998X,9
21639,141911,0517888297,10
21640,141912,0515132187,7
21645,141926,0689825943,8
21647,141933,0446606812,8
21650,141941,0916103730,9
21654,141951,0061098698,7
21655,141972,0394519434,8
21656,141979,0553579312,10
21657,141980,0517565188,5
21659,141990,0385315236,8
21665,142013,1556617321,6
21668,142015,0091867908,6
21673,142051,1550544683,7
21679,142079,0679774025,8
21680,142089,0312169515,7
21688,142133,0670261564,9
21692,142142,1857022424,9
21698,142169,039473520X,8
21699,142171,0671541854,7
21703,142193,1400032016,9
21705,142238,031230899X,8
21706,142262,0590036394,6
21707,142276,0330370057,6
21711,142364,0312982526,7
21712,142370,034540288X,8
21721,142404,006001203X,5
21722,142404,0961774444,5
21725,142420,0312961278,8
21733,142486,0385480016,6
21734,142487,0786868716,10
21740,142512,0671628879,10
21741,142521,0345315898,10
21742,142525,0312277032,8
21743,142536,0553580221,5
21750,142580,044023722X,7
21757,142626,0515118230,5
21759,142626,0440207770,6
21768,142685,0553280341,8
21769,142685,0553579606,8
21772,142689,1853260320,8
21773,142689,0345443799,6
21774,142714,0061000175,7
21777,142732,0743428013,9
21785,142759,0786868716,9
21789,142771,0312866399,6
21797,142807,0064410129,7
21802,142837,0631180281,8
21804,142839,0451162072,5
21805,142839,0449300498,5
21808,142871,038531700X,5
21812,142936,0451406060,5
21813,142936,0425167631,8
21815,142956,0131940104,7
21824,143019,1551668696,5
21828,143031,1592866220,10
21829,143033,042516098X,8
21847,143166,0446608955,8
21850,143193,0590455761,9
21853,143225,0385265700,10
21855,143239,0767914767,8
21857,143243,0590425609,8
21863,143282,0449005569,2
21870,143323,0375413936,10
21871,143338,0375400605,5
21874,143344,089577352X,8
21875,143346,0425184714,6
21876,143349,0786881852,9
21878,143349,067944999X,8
21880,143349,0312272758,5
21881,143349,0312420900,3
21889,143364,038079487X,6
21898,143386,0385504209,10
21899,143395,0821766570,8
21909,143416,0330330276,4
21912,143422,0785268480,8
21915,143430,0842355006,9
21917,143451,0061099562,7
21919,143464,1400034779,8
21920,143467,0345321065,7
21922,143488,0425137945,7
21923,143512,0385199570,9
21926,143521,0385721420,7
21932,143576,0385504209,10
21939,143631,044990542X,10
21942,143647,0452282152,7
21945,143663,1878424319,10
21946,143665,0312310056,8
21947,143672,0385511612,7
21948,143672,0399150897,8
21949,143675,0914984543,8
21961,143725,0440216842,7
21965,143740,1568655622,10
21972,143763,0345348109,7
21973,143763,0312186886,8
21983,143822,031226982X,7
21984,143822,1587240211,9
21985,143827,080505300X,8
21989,143864,0688168914,7
21990,143876,037550852X,9
21991,143886,006093770X,5
21995,143929,0425152898,8
21996,143932,0967378508,7
21997,143938,0061097314,8
22005,144045,0312978669,6
22007,144056,0671023187,6
22008,144056,0425171884,7
22009,144056,0425171396,7
22010,144060,0312195516,7
22011,144069,0140254587,7
22013,144083,0553280414,8
22014,144083,0062548662,2
22015,144083,0345305221,7
22016,144095,0446604666,8
22021,144108,055311073X,8
22022,144110,0553583891,1
22023,144110,0671702513,6
22024,144110,0821765868,4
22025,144110,0786010614,7
22026,144110,077832012X,9
22028,144110,0373292414,5
22030,144113,1896356052,4
22031,144116,0743411323,9
22033,144124,0971880107,3
22037,144173,0099771519,10
22038,144175,042512519X,9
22042,144198,0670813028,9
22046,144247,0553210092,8
22048,144257,0552997706,6
22064,144270,0425178560,7
22066,144291,0671693816,7
22069,144332,1573228214,6
22072,144349,0345361792,9
22073,144361,0767900383,9
22080,144391,059035342X,8
22081,144412,0449005615,8
22082,144418,0963056611,10
22083,144419,0452282829,8
22094,144499,0671024248,6
22095,144511,0151700958,7
22111,144594,0449212602,8
22112,144594,0688166083,2
22125,144690,059035342X,10
22126,144692,0380718340,5
22129,144715,0440224675,8
22142,144755,0141180633,7
22144,144772,0330484907,3
22145,144772,185984412X,7
22159,144809,0451199650,7
22163,144847,0439324599,7
22164,144849,0515135356,6
22167,144885,0590366831,9
22170,144917,0749336021,5
22173,144940,0380978857,7
22178,144968,0553290789,9
22181,144980,0609608444,7
22182,144983,0064440168,8
22183,144995,0451410645,5
22191,145030,0061000027,10
22192,145030,0804108889,8
22198,145055,0061093335,5
22207,145116,0312986319,9
22208,145116,0060975458,10
22209,145130,0689800843,9
22212,145162,0330375253,10
22213,145166,080943752X,5
22214,145169,0060156961,6
22215,145177,0385484518,9
22224,145225,0316969443,6
22230,145264,0385721358,8
22238,145286,0375726403,6
22240,145286,0312291639,7
22241,145286,0375412824,7
22244,145296,1558531025,6
22248,145324,0380789019,6
22256,145360,0871564378,10
22258,145371,0395562333,8
22267,145433,0805063889,8
22269,145434,0451146425,9
22271,145448,0894718797,6
22273,145468,067976402X,9
22290,145506,0449208133,7
22292,145537,0586054472,7
22297,145565,0440220459,8
22298,145565,0425102416,7
22299,145574,0451408888,9
22301,145593,0802138195,9
22302,145600,0440223202,8
22303,145600,0425160807,6
22305,145601,0385335490,9
22311,145642,0743211227,10
22319,145650,0590511599,9
22321,145650,0689809875,8
22323,145654,0671887963,8
22324,145654,0425181456,5
22325,145659,0452282195,7
22329,145668,0446607444,9
22330,145671,0312171838,6
22352,145727,0449203794,6
22354,145733,006019250X,10
22361,145761,0971880107,5
22362,145766,0312278586,6
22364,145773,0316182540,9
22367,145794,0061031445,8
22370,145813,0312421273,8
22371,145814,0441359175,7
22374,145816,0451155246,9
22377,145845,0345361792,9
22379,145856,0140263500,8
22380,145869,0061097101,9
22381,145872,0375507817,7
22385,145924,0767905180,9
22392,145962,076790382X,8
22399,145977,0553263978,7
22405,146000,044023722X,6
22410,146024,0967370183,8
22411,146029,039914739X,7
22413,146047,0425135721,7
22414,146052,0452272564,7
22415,146053,0060504080,10
22416,146053,0807085588,9
22418,146059,0060928336,7
22419,146059,0006548830,3
22422,146060,0679772936,10
22423,146060,1878574353,10
22425,146073,0812966430,4
22428,146107,0684841185,9
22438,146167,0807113484,9
22441,146195,0345434943,7
22450,146283,0425174271,9
22451,146283,0553575236,7
22455,146329,0312277059,5
22456,146329,0446403938,8
22458,146356,0316745502,7
22459,146356,0486297136,5
22461,146360,0345433491,10
22466,146391,0060580275,8
22467,146391,0553802275,10
22488,146469,0385504209,10
22489,146482,0330375253,8
22491,146509,0671510053,10
22492,146513,1580623085,8
22493,146516,0735712026,6
22506,146639,1891620401,9
22508,146647,0553580329,6
22514,146710,0802847471,8
22516,146728,1576736857,5
22518,146740,0452282152,10
22519,146747,0553580221,8
22523,146764,0385474016,5
22524,146764,0451171128,9
22525,146764,055329699X,6
22527,146764,0684835576,6
22529,146775,0670818577,7
22533,146816,0440234743,10
22534,146847,0061099481,8
22538,146869,0440204887,7
22543,146903,0385507593,10
22544,146906,042518630X,10
22546,146946,0517595338,5
22548,146956,0156904365,8
22554,147027,0679442790,7
22556,147065,0671693816,8
22560,147100,0553290320,5
22561,147105,0553280945,8
22562,147108,0061057088,9
22563,147118,0446608262,7
22566,147138,0679879242,7
22567,147139,0671019961,8
22569,147159,0738206083,8
22571,147173,0385316860,8
22573,147195,0446671002,5
22575,147219,1880092190,6
22578,147228,087113795X,10
22579,147233,0679764925,8
22581,147239,0345342968,9
22582,147240,0060977337,9
22590,147293,0060959479,10
22592,147331,0446605409,6
22594,147347,0758201346,3
22602,147377,0375704027,10
22607,147394,1565120035,7
22609,147400,0451180429,5
22610,147400,0373706863,5
22611,147400,0674068807,6
22612,147400,1572302062,6
22616,147425,0312951817,8
22617,147426,0440221099,8
22625,147533,0316154059,8
22629,147562,0671003127,7
22630,147590,0679419462,5
22631,147590,0679447490,5
22632,147590,0553803328,6
22633,147590,1559705647,8
22635,147607,0553582747,8
22636,147607,0061020710,7
22637,147607,0515090506,8
22638,147609,1551990482,8
22640,147625,0345348109,9
22645,147646,1572971835,10
22650,147659,0062500821,7
22651,147670,0553378228,7
22660,147723,0394717724,6
22661,147727,0345425707,8
22667,147780,0515131679,6
22669,147780,0312255012,5
22677,147798,0385312636,8
22681,147813,0826308252,8
22685,147836,0842377506,10
22687,147840,0060928336,6
22688,147840,0743407083,7
22690,147856,0060924837,8
22691,147857,0451207521,8
22693,147864,0312305109,10
22697,147897,1400033543,8
22703,147927,038549274X,8
22704,147936,044024126X,6
22705,147944,0385510438,8
22706,147955,0671010204,7
22708,147979,1873982194,6
22709,147983,0345436911,7
22715,147996,0930289234,9
22718,148027,0316182540,9
22719,148048,0140344438,10
22720,148049,1892253038,5
22723,148067,078510898X,8
22725,148078,0688146899,7
22727,148091,0375414827,8
22728,148093,0812575717,8
22732,148109,0375726403,10
22733,148109,0375701427,7
22734,148112,048627263X,9
22736,148126,0671742558,10
22740,148145,0440220602,6
22741,148145,1573226521,4
22744,148175,0385511612,7
22756,148324,0743448677,7
22759,148350,0553580221,8
22760,148354,0747545634,4
22764,148402,0425176053,5
22765,148427,0812523369,10
22766,148427,0921149921,5
22774,148457,0395869463,5
22775,148457,0671242954,7
22776,148461,0671027344,3
22777,148463,0679731148,7
22778,148473,0789716976,5
22779,148504,0060504080,8
22783,148529,0375411119,6
22784,148548,1400031354,8
22785,148566,0743436679,8
22788,148572,0786890436,8
22798,148664,0446601977,10
22800,148680,055356451X,5
22801,148680,0553564528,5
22802,148680,0671004549,7
22803,148680,0451204301,8
22810,148707,0743203631,8
22818,148802,0316702757,10
22820,148816,0671039288,9
22822,148819,0882668773,7
22824,148846,0142180092,8
22825,148860,0515128538,7
22829,148874,0451158601,9
22834,148887,0156717204,7
22836,148899,0553580221,10
22838,148915,0821769278,8
22847,149014,0767902890,10
22848,149025,0345424719,9
22854,149060,0670865796,9
22859,149090,0515126098,6
22862,149113,0670894605,8
22863,149116,0345353145,9
22868,149178,0345458303,7
22870,149185,1852421657,7
22872,149216,0553274295,8
22875,149242,0060927860,8
22880,149261,0060929952,4
22895,149312,0915811006,9
22896,149322,0446675059,9
22897,149323,0679722041,5
22901,149354,0679758666,5
22906,149411,0451179897,8
22909,149430,0375725784,9
22910,149499,0590623907,6
22915,149655,0679450408,6
22917,149667,0060168013,8
22918,149667,0425155439,6
22919,149682,0446610100,10
22920,149687,0060937262,10
22921,149691,061815082X,6
22929,149750,0890872449,3
22931,149758,1865082988,6
22932,149777,0312925883,8
22933,149784,0374128715,9
22934,149784,0945397518,7
22937,149790,0140366822,9
22939,149799,0316089699,8
22940,149799,0385337663,4
22943,149822,0385722206,7
22944,149829,0440226872,5
22945,149835,1400034779,9
22950,149887,1573227161,10
22960,149958,0312278586,8
22962,149967,0061000027,9
22964,149977,0674447468,8
22965,149997,0446527033,6
22968,150011,055327872X,6
22969,150014,0743418174,10
22979,150102,0394713788,9
22980,150102,0804109567,9
22986,150229,0673523896,5
22991,150269,0061014176,8
22994,150309,0399145087,1
22995,150312,0812551486,8
22996,150312,0380814714,5
22997,150326,0889740631,7
23006,150393,0849954037,8
23009,150400,0440234743,10
23011,150453,0393051161,7
23014,150486,0425178102,6
23017,150550,039914112X,5
23019,150595,0312925883,8
23021,150617,0060976845,6
23022,150617,006091565X,7
23023,150617,0915811812,8
23026,150667,0451458273,8
23028,150676,0446519138,5
23029,150677,0156007185,8
23032,150693,0553574639,8
23035,150778,0140367535,8
23037,150799,157322099X,8
23039,150799,1550225480,10
23041,150799,1560252529,7
23042,150799,0609807749,8
23043,150799,0806525908,8
23054,150912,1410794075,7
23055,150915,0971880107,4
23056,150934,0553211439,6
23069,150988,0385498802,9
23071,150997,0553299328,9
23072,151007,0802132758,8
23074,151027,0142300985,7
23076,151031,0440236843,9
23083,151051,0679783180,5
23085,151061,0671547178,6
23086,151064,0425180638,7
23096,151164,0743444167,10
23097,151165,0375725784,7
23099,151184,0060964049,7
23102,151208,0671024248,10
23107,151213,0060932902,9
23109,151213,0452282624,7
23110,151215,0449146863,5
23117,151267,0441003257,10
23118,151275,156476706X,7
23130,151340,0425164403,8
23133,151363,0451458273,7
23134,151363,0451458796,7
23136,151385,0871136422,7
23137,151401,0525946829,9
23139,151428,1591822408,4
23141,151452,0345334930,8
23144,151459,0440222656,8
23150,151484,0553292722,8
23151,151484,0515128546,6
23154,151487,0740704818,8
23158,151507,0345420748,5
23161,151522,0140373896,7
23166,151552,0970335520,8
23171,151567,0394512596,5
23172,151569,0380804700,6
23174,151577,0553212583,10
23179,151630,0399148027,7
23181,151645,0060925884,7
23185,151663,038079487X,6
23197,151753,156947012X,4
23203,151777,0140348107,8
23204,151777,0449219461,8
23206,151777,086611999X,5
23207,151789,0440901588,9
23212,151830,0679776591,9
23215,151854,0060914653,8
23218,151872,0679435506,4
23219,151881,0679459618,5
23222,151896,0156007754,9
23223,151903,0312300336,7
23224,151905,1557044031,10
23230,151929,0553802127,7
23233,151941,0759934797,10
23235,151955,0451199650,10
23236,151955,0525944699,9
23240,151978,0471018732,7
23246,152029,0060956119,7
23249,152062,0553277537,9
23250,152062,014038572X,9
23251,152062,0553278355,10
23252,152062,0440215560,10
23256,152115,0399150897,6
23257,152117,1592864449,10
23258,152123,0446608815,7
23259,152131,0330314971,5
23264,152155,042517400X,5
23272,152208,0865343454,3
23275,152243,044023722X,9
23281,152318,0312278586,10
23283,152318,0345419081,9
23284,152318,0684839776,8
23285,152321,1551666650,9
23288,152348,0399146601,2
23289,152391,0061093580,8
23292,152455,0553375407,5
23296,152455,0764552899,5
23300,152504,0140244824,3
23305,152543,0064407675,8
23309,152561,0765303817,9
23310,152565,0060391626,8
23311,152565,0385478003,5
23313,152587,0140314601,8
23314,152597,0486270521,8
23315,152609,0385720106,7
23316,152619,0743437640,9
23318,152625,0385484518,7
23320,152630,0141185104,7
23327,152719,0789471698,10
23328,152757,0834803224,8
23329,152757,0967469708,9
23330,152757,0967469724,9
23332,152757,0967469767,8
23343,152804,0060256656,10
23350,152837,0440173507,9
23355,152871,1878424114,10
23356,152875,0312195516,8
23357,152899,0312278586,7
23358,152899,0670880728,8
23361,152928,0385484518,7
23364,152944,0743469801,7
23370,152972,0385335512,9
23371,152980,0312263120,8
23380,153099,080501084X,8
23381,153103,0140620869,8
23385,153152,0306812274,8
23390,153193,0140366695,10
23391,153196,0061093335,9
23392,153201,0312272057,7
23395,153210,031242258X,9
23402,153223,0515129232,7
23403,153235,0679427430,7
23404,153254,0440211727,9
23408,153274,0385504470,8
23410,153284,0060976977,7
23411,153284,0553268880,7
23416,153284,9627255033,8
23418,153286,0446516538,7
23422,153330,0595217990,10
23425,153350,0440236053,7
23429,153376,0425173305,8
23431,153376,0345450914,6
23435,153423,1400030773,5
23436,153440,0451627296,10
23438,153464,0670894605,10
23440,153473,1575666529,6
23441,153473,0312980159,7
23442,153473,006008166X,6
23443,153473,1591840376,5
23447,153507,0440984696,10
23448,153507,0451160444,9
23449,153512,0553379011,8
23451,153523,0380780453,6
23452,153523,1567187951,7
23453,153525,0140067477,8
23458,153566,0451628055,2
23463,153584,1591294304,10
23465,153594,0385326335,10
23467,153619,0440224829,1
23468,153640,0805208720,10
23470,153648,0679732411,10
23471,153649,0131867199,5
23472,153649,0380723387,6
23474,153669,0380973650,8
23475,153669,0553109200,8
23477,153693,0373263023,5
23478,153715,0060987529,8
23479,153716,0385471874,10
23486,153796,1575666073,10
23495,153873,0446690589,7
23499,153910,0385479565,8
